Project Key,Project Name,Story Key,Status,Priority,Created,Summary
ET,BitCode Team,ET-14005,Finalizada,Highest,2023-10-23T12:03:25.460-0600,MS Reconciliation: Endpoint para consulta de comprobante de transferencia
ET,BitCode Team,ET-14004,Finalizada,Highest,2023-10-23T12:03:16.078-0600,PU MS FE: comprobante de transferencia
ET,BitCode Team,ET-14003,Finalizada,Highest,2023-10-23T12:02:38.613-0600,MS FE: comprobante de transferencia
ET,BitCode Team,ET-14002,Finalizada,Highest,2023-10-23T12:02:21.795-0600,PU MS FE: Crear modulo de aprobacion de conciliacion servimas t+1
ET,BitCode Team,ET-14001,Finalizada,Highest,2023-10-23T12:01:38.785-0600,MS FE: Crear modulo de aprobacion de conciliacion servimas t+1
ET,BitCode Team,ET-14000,Finalizada,Highest,2023-10-23T12:01:25.342-0600,PU MS Reconciliation: Creacion de archivo SINPE TXT para afiliados sinpe en proceso t+1
ET,BitCode Team,ET-13999,Finalizada,Highest,2023-10-23T12:01:16.431-0600,MS Reconciliation: Creacion de archivo SINPE TXT para afiliados sinpe en proceso t+1
ET,BitCode Team,ET-13998,Finalizada,Highest,2023-10-23T12:01:09.003-0600,PU MS Reconciliation: Endpoint generacion de asiento contable en proceso T+1
ET,BitCode Team,ET-13997,Finalizada,Highest,2023-10-23T12:00:17.495-0600,MS Reconciliation: Endpoint generacion de asiento contable en proceso T+1
ET,BitCode Team,ET-13993,Finalizada,Highest,2023-10-23T11:59:39.794-0600,"MS Reconciliation: Consumo de diferentes tasa de cambio scotiabank, bcr, entre otros para el asiento contable"
ET,BitCode Team,ET-13992,Finalizada,Highest,2023-10-23T11:59:22.974-0600,MS Reconciliation: Crear SP de consolidacion de pagos por afiliado de servimas para proceso T+1
ET,BitCode Team,ET-13990,Finalizada,Highest,2023-10-23T11:58:51.270-0600,MS Reconciliation: Endpoint de agrupaciones en proceso T+1
ET,BitCode Team,ET-13989,Finalizada,Highest,2023-10-23T11:58:41.348-0600,PU MS FE: Crear Modulo de conciliacion Servimas en T+1
ET,BitCode Team,ET-13988,Finalizada,Highest,2023-10-23T11:57:55.402-0600,MS FE: Crear Modulo de conciliacion Servimas en T+1
ET,BitCode Team,ET-13987,Finalizada,Highest,2023-10-23T11:57:06.508-0600,Capacitacion general del proceso de T y T+1 al equipo
OS,OPC Squad,OS-10776,Finalizada,Highest,2023-10-23T10:37:06.544-0600,Actualización correos masivos
DFD,Defenders,DFD-4616,Finalizada,Highest,2023-10-19T16:01:39.065-0600,Creación del Evaluador de Condiciones
DFD,Defenders,DFD-4615,Finalizada,Highest,2023-10-19T15:43:16.210-0600,Crear el mantenimiento de reglas para documentos
DFD,Defenders,DFD-4614,Finalizada,Highest,2023-10-19T14:52:53.001-0600,Crear mantenimiento de ciclos
DFD,Defenders,DFD-4613,Finalizada,Highest,2023-10-19T14:52:42.139-0600,Crear el mantenimiento de tipo de documento
OS,OPC Squad,OS-10766,Finalizada,Highest,2023-10-18T08:59:10.703-0600,Generación de auxiliares
OS,OPC Squad,OS-10765,Finalizada,Highest,2023-10-18T08:30:42.424-0600,Validación espacios en blanco en registro de títulos 
